prefix,bits,registry,vendor
001BC50C1,36,MA-S,EREE Electronique
001BC50C2,36,MA-S,TechSolutions A/S
001BC50C3,36,MA-S,inomatic GmbH
001BC50C4,36,MA-S,ELDES
001BC50C5,36,MA-S,Gill Instruments Ltd
001BC50C6,36,MA-S,CyanConnode
001BC50C7,36,MA-S,WIZZILAB SAS
001BC50C8,36,MA-S,Dialine
001BC50C9,36,MA-S,UAB Kitron
70B3D5001,36,MA-S,SOREDI touch systems GmbH
70B3D5002,36,MA-S,Gogo BA
70B3D5003,36,MA-S,ANYROAM
70B3D5004,36,MA-S,LEIDOS
70B3D5005,36,MA-S,CT Company
70B3D5006,36,MA-S,Piranha EMS Inc.
70B3D5007,36,MA-S,SENSONEO
70B3D5008,36,MA-S,ESYSE GmbH Embedded Systems Engineering
70B3D5009,36,MA-S,HolidayCoro
70B3D500A,36,MA-S,"FUJICOM Co.,Ltd."
70B3D500B,36,MA-S,AXING AG
70B3D500C,36,MA-S,EXARA Group
70B3D500D,36,MA-S,Scrona AG
70B3D500E,36,MA-S,Magosys Systems LTD
70B3D500F,36,MA-S,"Neusoft Reach Automotive Technology (Shenyang) Co.,Ltd"
70B3D5010,36,MA-S,"Hanwa Electronic Ind.Co.,Ltd."
70B3D5011,36,MA-S,Sumer Data S.L
70B3D5012,36,MA-S,KST technology
70B3D5013,36,MA-S,"Sportsbeams Lighting, Inc."
70B3D5014,36,MA-S,FRAKO Kondensatoren und Anlagenbau GmbH
70B3D5015,36,MA-S,EN ElectronicNetwork Hamburg GmbH
70B3D5016,36,MA-S,Guardian Controls International Ltd
70B3D5017,36,MA-S,FTG Corporation
70B3D5018,36,MA-S,DELITECH GROUP
70B3D5019,36,MA-S,"Transit Solutions, LLC."
70B3D501A,36,MA-S,Cubro Acronet GesmbH
70B3D501B,36,MA-S,AUDI AG
70B3D501C,36,MA-S,Kumu Networks
70B3D501D,36,MA-S,Weigl GmbH & Co KG
70B3D501E,36,MA-S,ePOINT Embedded Computing Limited
70B3D501F,36,MA-S,SPX Flow Technology BV
70B3D5020,36,MA-S,"MICRO DEBUG, Y.K."
70B3D5021,36,MA-S,HGL Dynamics Ltd
70B3D5022,36,MA-S,Ravelin Ltd
70B3D5023,36,MA-S,Cambridge Pixel
70B3D5024,36,MA-S,G+D Mobile Security
70B3D5025,36,MA-S,Elsuhd Net Ltd Co.
70B3D5026,36,MA-S,Telstra
70B3D5027,36,MA-S,Redcap Solutions s.r.o.
70B3D5028,36,MA-S,AT-Automation Technology GmbH
70B3D5029,36,MA-S,"Marimo electronics Co.,Ltd."
70B3D502A,36,MA-S,BAE Systems Surface Ships Limited
70B3D502B,36,MA-S,Scorpion Precision Industry (HK)CO. Ltd.
70B3D502C,36,MA-S,Iylus Inc.
70B3D502D,36,MA-S,NEXTtec srl
70B3D502E,36,MA-S,Monnit Corporation
70B3D502F,36,MA-S,"LEGENDAIRE TECHNOLOGY CO., LTD."
70B3D5030,36,MA-S,Tresent Technologies
70B3D5031,36,MA-S,SHENZHEN GAONA ELECTRONIC CO.LTD
70B3D5032,36,MA-S,"iFreecomm Technology Co., Ltd"
70B3D5033,36,MA-S,Sailmon BV
70B3D5034,36,MA-S,Digital Systems Engineering
70B3D5035,36,MA-S,HKW-Elektronik GmbH
70B3D5036,36,MA-S,Vema Venturi AB
70B3D5037,36,MA-S,EIFFAGE ENERGIE ELECTRONIQUE
70B3D5038,36,MA-S,"DONG IL VISION Co., Ltd."
70B3D5039,36,MA-S,DoWoo Digitech
70B3D503A,36,MA-S,Ochno AB
70B3D503B,36,MA-S,SSL - Electrical Aerospace Ground Equipment Section
70B3D503C,36,MA-S,Ultimate Software
70B3D503D,36,MA-S,"QUERCUS TECHNOLOGIES, S.L."
70B3D503E,36,MA-S,"Guan Show Technologe Co., Ltd."
70B3D503F,36,MA-S,Elesar Limited
70B3D5040,36,MA-S,Savari Inc
70B3D5041,36,MA-S,FIBERNET LTD
70B3D5042,36,MA-S,Coveloz Technologies Inc.
70B3D5043,36,MA-S,cal4care Pte Ltd
70B3D5044,36,MA-S,Don Electronics Ltd
70B3D5045,36,MA-S,Navaero Avionics AB
70B3D5046,36,MA-S,"Shenzhen Rihuida Electronics Co,. Ltd"
70B3D5047,36,MA-S,"OOO ""ORION-R"""
70B3D5048,36,MA-S,AvMap srlu
70B3D5049,36,MA-S,"APP Engineering, Inc."
70B3D504A,36,MA-S,Gecko Robotics Inc
70B3D504B,36,MA-S,"Dream I System Co., Ltd"
70B3D504C,36,MA-S,mapna group
70B3D504D,36,MA-S,Sicon srl
70B3D504E,36,MA-S,HUGEL GmbH
70B3D504F,36,MA-S,EVPU Defence a.s.
70B3D5050,36,MA-S,Compusign Systems Pty Ltd
70B3D5051,36,MA-S,JT
70B3D5052,36,MA-S,Sudo Premium Engineering
70B3D5053,36,MA-S,"YAMAKATSU ELECTRONICS INDUSTRY CO., LTD."
70B3D5054,36,MA-S,Groupeer Technologies
70B3D5055,36,MA-S,BAE SYSTEMS
70B3D5056,36,MA-S,"MIRAE INFORMATION TECHNOLOGY CO., LTD."
70B3D5057,36,MA-S,RCH ITALIA SPA
70B3D5058,36,MA-S,"Telink Semiconductor CO, Limtied, Taiwan"
70B3D5059,36,MA-S,Pro-Digital Projetos Eletronicos Ltda
70B3D505A,36,MA-S,Uni Control System Sp. z o. o.
70B3D505B,36,MA-S,PAL Inc.
70B3D505C,36,MA-S,Amber Kinetics Inc
70B3D505D,36,MA-S,"KOMS Co.,Ltd."
70B3D505E,36,MA-S,VITEC
70B3D505F,36,MA-S,UNISOR MULTISYSTEMS LTD
70B3D5060,36,MA-S,RCH SPA
70B3D5061,36,MA-S,IntelliDesign Pty Ltd
70B3D5062,36,MA-S,RM Michaelides Software & Elektronik GmbH
70B3D5063,36,MA-S,PoolDigital GmbH & Co. KG
70B3D5064,36,MA-S,AB PRECISION (POOLE) LTD
70B3D5065,36,MA-S,EXATEL
70B3D5066,36,MA-S,"North Pole Engineering, Inc."
70B3D5067,36,MA-S,NEOPATH INTEGRATED SYSTEMS LTDA
70B3D5068,36,MA-S,Onethinx BV
70B3D5069,36,MA-S,"ONDEMAND LABORATORY Co., Ltd."
70B3D506A,36,MA-S,"Guangdong Centnet Technology Co.,Ltd"
70B3D506B,36,MA-S,U-Tech
70B3D506C,36,MA-S,AppTek
70B3D506D,36,MA-S,Panoramic Power
70B3D506E,36,MA-S,"GLOBAL-KING INTERNATIONAL CO., LTD."
